level,question,year,city,town,name,value
towns,Annual checkup,2018,NA,NA,Willington,0.7640000000000001
towns,Annual checkup,2018,NA,NA,Wilton,0.7995326652640903
towns,Annual checkup,2018,NA,NA,Winchester,0.7787915851272015
towns,Annual checkup,2018,NA,NA,Windham,0.7730209751464302
towns,Annual checkup,2018,NA,NA,Windsor,0.8216464329982095
towns,Annual checkup,2018,NA,NA,Windsor Locks,0.7957066730676907
towns,Annual checkup,2018,NA,NA,Wolcott,0.7893182254196643
towns,Annual checkup,2018,NA,NA,Woodbridge,0.8190000000000001
towns,Annual checkup,2018,NA,NA,Woodbury,0.7974169423558897
towns,Annual checkup,2018,NA,NA,Woodstock,0.802
neighborhoods,Annual checkup,2018,Bridgeport,NA,Black Rock,0.757679598809655
neighborhoods,Annual checkup,2018,Bridgeport,NA,Brooklawn-St. Vincent,0.7662815238892818
neighborhoods,Annual checkup,2018,Bridgeport,NA,Downtown,0.7859999999999999
neighborhoods,Annual checkup,2018,Bridgeport,NA,East End,0.7929647895672791
neighborhoods,Annual checkup,2018,Bridgeport,NA,East Side,0.7580442785865947
neighborhoods,Annual checkup,2018,Bridgeport,NA,Enterprise,0.7634997513839626
neighborhoods,Annual checkup,2018,Bridgeport,NA,Hollow,0.743004293918174
neighborhoods,Annual checkup,2018,Bridgeport,NA,Mill Hill,0.7881158992821359
neighborhoods,Annual checkup,2018,Bridgeport,NA,North End,0.7777510923046644
neighborhoods,Annual checkup,2018,Bridgeport,NA,Reservoir-Whiskey Hill,0.7968342845560545
neighborhoods,Annual checkup,2018,Bridgeport,NA,South End,0.7495061728395062
neighborhoods,Annual checkup,2018,Bridgeport,NA,Upper East Side,0.7883521656722968
neighborhoods,Annual checkup,2018,Bridgeport,NA,West End-West Side,0.7635693468795356
neighborhoods,Annual checkup,2018,Hartford,Hartford,Asylum Hill,0.7955490716180371
neighborhoods,Annual checkup,2018,Hartford,Hartford,Barry Square,0.7579615781330583
neighborhoods,Annual checkup,2018,Hartford,Hartford,Behind the Rocks,0.7695892835495212
neighborhoods,Annual checkup,2018,Hartford,Hartford,Blue Hills,0.8236073078192017
neighborhoods,Annual checkup,2018,Hartford,Hartford,Clay Arsenal,0.7935352894528152
neighborhoods,Annual checkup,2018,Hartford,Hartford,Downtown,0.76
neighborhoods,Annual checkup,2018,Hartford,Hartford,Frog Hollow,0.7588976361333897
neighborhoods,Annual checkup,2018,Hartford,Hartford,Northeast,0.8281985808981421
neighborhoods,Annual checkup,2018,Hartford,Hartford,Parkville,0.7647498437825454
neighborhoods,Annual checkup,2018,Hartford,Hartford,Sheldon Charter Oak,0.7789336283185841
neighborhoods,Annual checkup,2018,Hartford,Hartford,South End & South Meadows,0.7705844679778114
neighborhoods,Annual checkup,2018,Hartford,Hartford,South Green,0.778
neighborhoods,Annual checkup,2018,Hartford,Hartford,Southwest,0.796099706744868
neighborhoods,Annual checkup,2018,Hartford,Hartford,Upper Albany,0.8373124096037026
neighborhoods,Annual checkup,2018,Hartford,Hartford,West End,0.7880155232849274
