level,city,town,name,Life expectancy_2010-2015,Any disability_2021,Mobility disability_2021,Coronary heart disease_2021,Current asthma_2021,Diabetes_2021,High blood pressure_2021,Annual checkup_2021,Dental visit_2020,Health insurance_2021,Current smoking_2021,Sleep <7 hours_2020
tract,NA,NA,09009351300,77.2,0.32,0.15,0.06,0.12,0.12,0.33,0.74,0.59,0.14,0.21,0.4
tract,NA,NA,09009351400,76.9,0.37,0.17,0.06,0.13,0.14,0.32,0.72,0.51,0.21,0.24,0.42
tract,NA,NA,09009351500,78.3,0.34,0.16,0.07,0.12,0.13,0.34,0.74,0.59,0.14,0.22,0.4
tract,NA,NA,09009351601,76.3,0.28,0.13,0.06,0.11,0.1,0.31,0.74,0.66,0.1,0.18,0.37
tract,NA,NA,09009351602,80.9,0.3,0.15,0.07,0.12,0.11,0.34,0.76,0.67,0.09,0.18,0.36
tract,NA,NA,09009351700,78.1,0.38,0.18,0.06,0.14,0.14,0.33,0.72,0.48,0.2,0.27,0.43
tract,NA,NA,09009351800,79.1,0.27,0.13,0.06,0.11,0.1,0.32,0.75,0.68,0.09,0.17,0.36
tract,NA,NA,09009351900,83.2,0.24,0.09,0.05,0.11,0.08,0.27,0.75,0.72,0.07,0.13,0.35
tract,NA,NA,09009352000,81.6,0.26,0.12,0.06,0.11,0.1,0.32,0.75,0.69,0.08,0.17,0.36
tract,NA,NA,09009352100,73.9,0.31,0.15,0.06,0.12,0.12,0.34,0.75,0.62,0.11,0.2,0.39
tract,NA,NA,09009352200,75.3,0.38,0.16,0.05,0.14,0.13,0.3,0.73,0.5,0.21,0.25,0.43
tract,NA,NA,09009352300,77.3,0.35,0.18,0.07,0.13,0.14,0.36,0.75,0.56,0.15,0.23,0.41
tract,NA,NA,09009352400,75.6,0.35,0.17,0.06,0.13,0.14,0.36,0.75,0.56,0.15,0.23,0.41
tract,NA,NA,09009352500,78.5,0.33,0.17,0.07,0.12,0.13,0.37,0.76,0.62,0.11,0.2,0.39
tract,NA,NA,09009352600,77.8,0.32,0.15,0.06,0.12,0.12,0.34,0.75,0.61,0.11,0.21,0.39
tract,NA,NA,09009352701,75.4,0.3,0.14,0.06,0.12,0.11,0.33,0.75,0.65,0.1,0.18,0.36
tract,NA,NA,09009352702,74.7,0.27,0.12,0.06,0.11,0.1,0.32,0.75,0.69,0.1,0.16,0.37
tract,NA,NA,09009361100,80,0.23,0.1,0.05,0.11,0.08,0.3,0.75,0.75,0.05,0.15,0.34
tract,NA,NA,09009361200,79.1,0.23,0.1,0.05,0.1,0.08,0.3,0.76,0.76,0.05,0.14,0.34
tract,NA,NA,09009361300,78.8,0.22,0.1,0.05,0.1,0.08,0.29,0.75,0.76,0.05,0.14,0.34
tract,NA,NA,09009361401,77.2,0.24,0.06,0.02,0.12,0.05,0.17,0.69,0.65,0.08,0.12,0.35
tract,NA,NA,09009361500,75.5,0.26,0.09,0.04,0.12,0.08,0.24,0.72,0.66,0.1,0.14,0.38
tract,NA,NA,09011650100,82.3,0.22,0.1,0.06,0.1,0.1,0.32,0.81,0.81,0.04,0.1,0.29
tract,NA,NA,09011660101,82.2,0.22,0.1,0.06,0.1,0.09,0.32,0.81,0.81,0.04,0.1,0.3
tract,NA,NA,09011690300,75.2,0.34,0.15,0.06,0.13,0.13,0.32,0.76,0.58,0.15,0.21,0.39
tract,NA,NA,09011690400,72.5,0.32,0.14,0.05,0.12,0.13,0.3,0.75,0.57,0.17,0.21,0.4
tract,NA,NA,09011690500,69.8,0.36,0.16,0.06,0.13,0.14,0.32,0.75,0.54,0.16,0.24,0.4
tract,NA,NA,09011690700,72,0.32,0.14,0.05,0.13,0.12,0.31,0.76,0.59,0.14,0.21,0.4
tract,NA,NA,09011690800,75.5,0.32,0.14,0.06,0.12,0.12,0.32,0.77,0.63,0.12,0.19,0.37
tract,NA,NA,09011690900,80.3,0.22,0.09,0.05,0.11,0.08,0.26,0.77,0.77,0.06,0.11,0.32
